gene	score	logfoldchange	pval	pval_adj	cluster
Chil3	113.77271	7.300887	0.0	0.0	AM
Ccl6	101.76517	5.722293	0.0	0.0	AM
Ctsd	98.33385	4.668608	0.0	0.0	AM
Ctss	93.288345	3.9881	0.0	0.0	AM
Clec7a	85.97253	4.882073	0.0	0.0	AM
Cd9	85.95089	3.4646459	0.0	0.0	AM
Mrc1	85.825714	4.7896557	0.0	0.0	AM
Atp6v0d2	84.52607	6.7347713	0.0	0.0	AM
Lpl	83.16888	4.0307913	0.0	0.0	AM
Mpeg1	80.15162	3.8371217	0.0	0.0	AM
Cd44	78.646835	3.6189244	0.0	0.0	AM
Plet1	76.73856	5.0754704	0.0	0.0	AM
Abcg1	75.9903	5.1036305	0.0	0.0	AM
Lgals3	74.322586	3.207963	0.0	0.0	AM
Cybb	74.01146	3.8354833	0.0	0.0	AM
Laptm5	69.731544	3.0515416	0.0	0.0	AM
Actb	67.28023	2.7130418	0.0	0.0	AM
Psap	66.5257	2.8179653	0.0	0.0	AM
Ear2	65.080536	5.183969	0.0	0.0	AM
Anxa2	63.046204	2.2890306	0.0	0.0	AM
Cebpb	61.91817	4.0703487	0.0	0.0	AM
Ftl1	60.963192	2.4187639	0.0	0.0	AM
Sirpa	59.06827	4.025193	0.0	0.0	AM
Nceh1	58.39621	3.3061008	0.0	0.0	AM
F7	58.203312	5.95882	0.0	0.0	AM
Mcemp1	57.37655	4.818281	0.0	0.0	AM
Klhdc4	55.522938	4.4442773	0.0	0.0	AM
Vim	55.168205	2.2313597	0.0	0.0	AM
Plek	54.58994	3.2057064	0.0	0.0	AM
Wfdc21	53.995003	5.464089	0.0	0.0	AM
Baz1a	53.28921	2.8657253	0.0	0.0	AM
Tnfaip2	52.758327	4.4268003	0.0	0.0	AM
Tmsb4x	52.280582	2.013209	0.0	0.0	AM
Fth1	52.262936	2.046811	0.0	0.0	AM
Gda	52.24324	3.384072	0.0	0.0	AM
Txn1	51.513355	2.0397851	0.0	0.0	AM
Plin2	51.328423	2.9718912	0.0	0.0	AM
Msrb1	51.207047	3.1597452	0.0	0.0	AM
Ctsz	50.728348	2.1956005	0.0	0.0	AM
Lcp1	50.571293	2.3540692	0.0	0.0	AM
Tgfbi	50.254818	3.0320141	0.0	0.0	AM
Hebp1	49.77688	5.006274	0.0	0.0	AM
Ctsk	49.423405	5.4298134	0.0	0.0	AM
Cyba	48.62786	2.0942707	0.0	0.0	AM
Hexa	47.26493	2.5275533	0.0	0.0	AM
Sgk1	47.165012	2.9162676	0.0	0.0	AM
Cstb	46.928867	2.3665946	0.0	0.0	AM
Clec4n	46.654087	4.833803	0.0	0.0	AM
Rplp1	46.008514	1.7534949	0.0	0.0	AM
Adipor2	45.237724	2.4792542	0.0	0.0	AM
Krt79	44.58342	7.33284	0.0	0.0	AM
Hsp90b1	44.559414	1.5927056	0.0	0.0	AM
Pld3	44.46625	3.6998317	0.0	0.0	AM
Arpc5	44.00265	1.9324574	0.0	0.0	AM
Ptpn12	42.96278	2.659802	0.0	0.0	AM
Taldo1	42.55218	2.138553	0.0	0.0	AM
Marco	42.521835	6.795572	0.0	0.0	AM
Naaa	41.892124	2.7818553	0.0	0.0	AM
Rplp2	41.883526	1.6792238	0.0	0.0	AM
Lmo4	41.160385	1.9472628	0.0	0.0	AM
Apbb1ip	40.868355	2.5580564	0.0	0.0	AM
Lrp1	40.81141	2.7699258	0.0	0.0	AM
Canx	40.12363	1.5813367	0.0	0.0	AM
Ctsa	40.07308	2.4779136	0.0	0.0	AM
Ccdc88a	39.8517	2.1135194	0.0	0.0	AM
Sh3bgrl	39.66972	1.7241168	0.0	0.0	AM
Cd302	39.569458	2.3799026	0.0	0.0	AM
Slc7a2	39.107506	4.6019034	0.0	0.0	AM
Il18	38.96282	4.8917704	0.0	0.0	AM
Snx10	38.654564	3.2463865	0.0	0.0	AM
Tcf7l2	38.62469	4.162834	0.0	0.0	AM
Cotl1	38.605366	2.0932143	0.0	0.0	AM
Reep5	38.602516	1.8672913	0.0	0.0	AM
Cd164	38.589603	2.772392	0.0	0.0	AM
Alox5ap	38.43734	2.3760574	0.0	0.0	AM
Pnpla8	38.360134	2.0277517	0.0	0.0	AM
Itgax	38.174942	3.9287245	0.0	0.0	AM
Ltc4s	38.125534	5.5281444	0.0	0.0	AM
Pygl	37.850407	3.2986538	0.0	0.0	AM
Sdcbp	37.57609	2.0605555	5.28366899971836e-309	1.7279999296806182e-306	AM
Fcer1g	37.27531	2.1513615	4.123094232793664e-304	1.3332882249415915e-301	AM
Cd300lf	37.222057	4.1551003	3.001598140019439e-303	9.59844382997327e-301	AM
Gpx1	37.20314	1.4705583	6.071244728110843e-303	1.920114541483847e-300	AM
AU020206	37.175087	2.4702983	1.7246709463757657e-302	5.3952206344233196e-300	AM
Bst1	36.982304	3.8756187	2.2046628907689714e-299	6.822601935089354e-297	AM
Trf	36.738922	1.7652411	1.7473466627612621e-295	5.349854995135013e-293	AM
Sem1	36.585453	1.4915859	4.872196202480333e-293	1.476019017972463e-290	AM
Cox5a	36.141098	1.8221527	5.133640416092873e-286	1.5231564038675555e-283	AM
Atp6v0b	36.134914	1.5752517	6.420827018256969e-286	1.885626546790159e-283	AM
Itgb2	36.089565	2.6654465	3.306366224908345e-285	9.611840399279008e-283	AM
Car4	36.07727	2.4232163	5.1541121977261965e-285	1.4833534905055993e-282	AM
Anp32b	36.05943	1.7070669	9.814341521813152e-285	2.7966014752255693e-282	AM
Slpi	35.942455	2.4452033	6.640031303449305e-283	1.8735304011105e-280	AM
Lipa	35.92688	2.8160229	1.1625192403572214e-282	3.2482819162602747e-280	AM
Prdx1	35.568863	1.2781936	4.246370807951431e-277	1.163910017646116e-274	AM
Cox4i1	35.06079	1.2878568	2.6701775815188255e-269	7.115528777417759e-267	AM
Ncf1	34.983704	2.5957286	3.981149255152661e-268	1.0511695005806751e-265	AM
Fxyd5	34.94461	1.9405552	1.5634292443801347e-267	4.090499423023662e-265	AM
Ctsb	34.785954	1.3824977	3.966927015330522e-265	1.0285419774884003e-262	AM
Aprt	34.778427	2.6493003	5.15511704459601e-265	1.3246809691381534e-262	AM
Spp1	34.63478	3.4828281	7.57147434474668e-263	1.9283808109894643e-260	AM
Grn	34.48204	1.914565	1.4911519509865805e-260	3.764504662227525e-258	AM
Atp6ap1	34.305508	1.8692837	6.495355101808311e-258	1.625533215913419e-255	AM
Ear1	34.2462	7.5834866	4.967811027039055e-257	1.2325310461912415e-254	AM
Eif3a	34.244785	1.4922405	5.2148623123975095e-257	1.2827669859042762e-254	AM
Gpnmb	34.237946	4.595733	6.592565079210205e-257	1.607915448980252e-254	AM
AI504432	34.149475	3.5721645	1.3613388490865186e-255	3.2923808467823536e-253	AM
1810037I17Rik	33.85599	1.4638553	2.9624762367384357e-251	7.046286453994395e-249	AM
Shtn1	33.817684	2.5291498	1.0840493734879723e-250	2.5572902433593313e-248	AM
Creg1	33.721973	1.5473969	2.754191466769586e-249	6.444360196229974e-247	AM
Tmed5	33.47578	1.9527872	1.0853977254367823e-245	2.519173107908919e-243	AM
Iqgap1	33.246304	1.261737	2.3085243128131873e-242	5.315146377821082e-240	AM
Lamp1	33.08271	1.3045558	5.269080127027509e-240	1.2035248099670771e-237	AM
Tyrobp	32.752354	1.9761434	2.8108933281985333e-235	6.320117967621389e-233	AM
Dab2	32.691204	2.7531004	2.0827860083792146e-234	4.6467117303219994e-232	AM
Net1	32.677208	2.1882663	3.29208502990477e-234	7.23253489776025e-232	AM
Cidec	32.658638	7.6508617	6.042214397117589e-234	1.3173858359776077e-231	AM
Gm42418	32.62981	1.6006595	1.5497394201902502e-233	3.353496279178602e-231	AM
Atp6v1b2	32.471687	2.0051596	2.6773141647089425e-231	5.750231467188311e-229	AM
Ms4a8a	32.221394	5.617911	8.854935368069143e-228	1.8738605874487495e-225	AM
Axl	31.933266	3.9293704	9.224911426629432e-224	1.9379047507912048e-221	AM
Fabp1	31.863604	7.423086	8.530507851509684e-223	1.7790435939597733e-220	AM
Ncf2	31.787046	2.7602167	9.775706686497021e-222	2.0240635858804625e-219	AM
Tmem14c	31.505596	1.9468787	7.281364445778424e-218	1.4968404910678788e-215	AM
M6pr	31.320791	1.7179263	2.431959103599467e-215	4.92899880292906e-213	AM
Clta	31.263472	1.4304618	1.464682639485075e-214	2.9478018436629693e-212	AM
Fcgr3	31.06775	2.7582867	6.569796059185291e-212	1.303991245402432e-209	AM
Actr2	30.910229	1.6040938	8.70438699440436e-210	1.7158373814997086e-207	AM
Cdc42ep3	30.247503	1.739886	5.6268810709559914e-201	1.0942002515007663e-198	AM
Lrrfip1	30.240154	1.2852837	7.029494955660775e-201	1.3577776162679002e-198	AM
Pla2g15	30.231846	4.065646	9.039189547150639e-201	1.7343191677799694e-198	AM
Olr1	30.189602	6.453682	3.2433251747789855e-200	6.181648909280742e-198	AM
Atp6v1e1	30.18347	1.6761045	3.9036912299967475e-200	7.391331157849105e-198	AM
Slc6a6	30.155067	1.7135762	9.204710683071649e-200	1.7202050224597537e-197	AM
Mt1	29.986897	1.8057743	1.4544715631780823e-197	2.683313563350334e-195	AM
Capza2	29.636211	1.5031016	5.106407891368029e-193	9.360663637807125e-191	AM
Cytip	29.445427	1.987583	1.440632668567963e-190	2.6076357359362245e-188	AM
Zeb2	29.121204	1.7313607	1.935009409254121e-186	3.4376278270576297e-184	AM
Cd2	28.973997	2.7870107	1.39939958634985e-184	2.4708417236287532e-182	AM
Anxa5	28.898842	1.2086903	1.2346141760878109e-183	2.1665973163297072e-181	AM
Mapk3	28.745537	1.6224355	1.0299272839313493e-181	1.7964428625178324e-179	AM
Akr1a1	28.72434	1.2050749	1.895186874630411e-181	3.266076542027739e-179	AM
Abcd2	28.282177	4.356581	5.7256970603509904e-176	9.693268317464793e-174	AM
Abracl	27.9421	1.9296854	8.223072340748866e-172	1.375930360271816e-169	AM
Nme1	27.809355	1.6435436	3.343161324596736e-170	5.529665685166325e-168	AM
Tuba1b	27.662846	1.3254601	1.9554147959842812e-168	3.215819304481578e-166	AM
Cd84	27.47481	2.703312	3.511849258966138e-166	5.71022721316641e-164	AM
Cyb561a3	27.411211	3.6198266	2.0161709180313266e-165	3.2598538775809874e-163	AM
Rexo2	27.166145	1.3932478	1.6322194256239247e-162	2.6243170429863995e-160	AM
Mertk	27.125885	2.7473664	4.876085896365692e-162	7.796319560966923e-160	AM
Capg	27.072254	2.0130439	2.0898295863490255e-161	3.3229445024930913e-159	AM
Abhd12	27.037067	3.2277942	5.421366148652073e-161	8.572907569132236e-159	AM
Ly75	26.906225	4.039889	1.8571210595391604e-159	2.920652682706942e-157	AM
F10	26.869978	4.14769	4.928202765638512e-159	7.666685167301425e-157	AM
Nabp1	26.861357	3.2642276	6.21487715050915e-159	9.616352924282438e-157	AM
Bcl2a1a	26.572927	3.0597155	1.3956396698790668e-155	2.1365164733574224e-153	AM
Csf2rb	26.348684	3.1229205	5.313637384882841e-153	8.091348356451225e-151	AM
Ptbp3	26.246538	1.4123622	7.828729916734945e-152	1.1858465631770092e-149	AM
Bcl2a1b	26.131258	2.1518683	1.6096977444912446e-150	2.4128698482530218e-148	AM
Ncl	25.99404	1.1470228	5.783549142571717e-149	8.624380534881555e-147	AM
Plaur	25.979782	2.8160768	8.381589646540862e-149	1.2434131444713711e-146	AM
Cd68	25.649485	2.5725873	4.2844399594302615e-145	6.3233939503796365e-143	AM
Ccnd2	25.646032	1.3533417	4.681758640511128e-145	6.874541513975014e-143	AM
Kcnq1ot1	25.522543	1.5645689	1.108158473042998e-143	1.6026533092551497e-141	AM
Pitpna	25.375637	1.5660986	4.685532605580647e-142	6.742481419430551e-140	AM
Sept9	25.2168	2.6940575	2.620958683755812e-140	3.7527955680841927e-138	AM
Hmgn2	25.139923	1.7609724	1.8214328684720225e-139	2.595090987852713e-137	AM
Fabp4	24.977604	3.7753534	1.0708221872376234e-137	1.5181410122511726e-135	AM
Runx1	24.973177	2.076461	1.1962472440696839e-137	1.687646847270858e-135	AM
Neu1	24.929735	2.3761504	3.54256777129013e-137	4.9734195345234124e-135	AM
Mcl1	24.862907	1.3291174	1.875228074548541e-136	2.619857475024612e-134	AM
Hspa8	24.833456	0.96286494	3.9028385783022725e-136	5.426265424325576e-134	AM
